Position,Players,Cp Dollars,% of Cap,NFL Rank,Team,Year
Defensive Line,11,"$24,925,435 ",13.12%,19,New Orleans Saints,2019
Linebacker,11,"$20,478,481 ",10.78%,15,New Orleans Saints,2019
Secondary,13,"$21,556,756 ",11.35%,24,New Orleans Saints,2019
Special Teams,3,"$6,795,000 ",3.58%,4,New Orleans Saints,2019
Quarterback,3,"$31,351,000 ",15.83%,5,New Orleans Saints,2020
Running Back,4,"$9,901,193 ",5.00%,9,New Orleans Saints,2020
Wide Receiver,7,"$14,340,040 ",7.24%,24,New Orleans Saints,2020
Tight End,5,"$12,631,824 ",6.38%,5,New Orleans Saints,2020
Offensive Line,10,"$26,378,963 ",13.32%,25,New Orleans Saints,2020
Defensive Line,11,"$29,600,110 ",14.95%,18,New Orleans Saints,2020
Linebacker,6,"$11,873,367 ",6.00%,26,New Orleans Saints,2020
Secondary,12,"$24,502,290 ",12.37%,21,New Orleans Saints,2020
Special Teams,4,"$10,073,441 ",5.09%,1,New Orleans Saints,2020
Quarterback,4,"$11,437,396 ",6.17%,21,New Orleans Saints,2021
Running Back,5,"$8,210,269 ",4.43%,12,New Orleans Saints,2021
Wide Receiver,7,"$15,035,600 ",8.11%,19,New Orleans Saints,2021
Tight End,4,"$3,594,258 ",1.94%,31,New Orleans Saints,2021
Offensive Line,13,"$29,048,017 ",15.66%,17,New Orleans Saints,2021
Defensive Line,12,"$24,918,618 ",13.43%,16,New Orleans Saints,2021
Linebacker,6,"$11,551,665 ",6.23%,24,New Orleans Saints,2021
Secondary,10,"$26,553,614 ",14.32%,13,New Orleans Saints,2021
Special Teams,4,"$5,173,276 ",2.79%,13,New Orleans Saints,2021
Quarterback,4,"$17,213,396 ",8.26%,19,New Orleans Saints,2022
Running Back,4,"$18,431,754 ",8.85%,2,New Orleans Saints,2022
Wide Receiver,8,"$30,507,602 ",14.64%,7,New Orleans Saints,2022
Tight End,4,"$5,884,740 ",2.82%,20,New Orleans Saints,2022
Offensive Line,10,"$66,140,021 ",31.74%,1,New Orleans Saints,2022
Defensive Line,7,"$53,871,627 ",25.86%,3,New Orleans Saints,2022
Linebacker,6,"$16,378,194 ",7.86%,24,New Orleans Saints,2022
Secondary,10,"$59,264,836 ",28.44%,1,New Orleans Saints,2022
Special Teams,3,"$7,655,500 ",3.67%,7,New Orleans Saints,2022
Quarterback,3,"$28,450,751 ",14.51%,5,New York Giants,2019
Running Back,3,"$8,294,922 ",4.23%,9,New York Giants,2019
Wide Receiver,10,"$14,843,171 ",7.57%,23,New York Giants,2019
Tight End,5,"$8,792,089 ",4.48%,10,New York Giants,2019
Offensive Line,10,"$26,776,108 ",13.65%,25,New York Giants,2019
Defensive Line,8,"$9,505,194 ",4.85%,31,New York Giants,2019
Linebacker,10,"$26,461,413 ",13.49%,9,New York Giants,2019
Secondary,12,"$13,253,153 ",6.76%,31,New York Giants,2019
Special Teams,4,"$2,434,707 ",1.24%,26,New York Giants,2019
Quarterback,2,"$8,172,740 ",4.14%,26,New York Giants,2020
Running Back,5,"$12,619,633 ",6.39%,2,New York Giants,2020
Wide Receiver,9,"$23,654,192 ",11.98%,9,New York Giants,2020
Tight End,3,"$7,335,371 ",3.72%,20,New York Giants,2020
Offensive Line,11,"$35,829,121 ",18.15%,13,New York Giants,2020
Defensive Line,8,"$24,656,941 ",12.49%,22,New York Giants,2020
Linebacker,10,"$23,394,354 ",11.85%,12,New York Giants,2020
Secondary,13,"$27,733,213 ",14.05%,17,New York Giants,2020
Special Teams,3,"$6,672,500 ",3.38%,7,New York Giants,2020
Quarterback,3,"$8,769,284 ",4.73%,26,New York Giants,2021
Running Back,3,"$13,230,320 ",7.13%,2,New York Giants,2021
Wide Receiver,11,"$16,907,765 ",9.12%,14,New York Giants,2021
Tight End,4,"$13,038,000 ",7.03%,3,New York Giants,2021
Offensive Line,12,"$29,976,874 ",16.16%,15,New York Giants,2021
Defensive Line,7,"$19,180,174 ",10.34%,24,New York Giants,2021
Linebacker,11,"$15,764,042 ",8.50%,20,New York Giants,2021
Secondary,15,"$36,116,804 ",19.47%,7,New York Giants,2021
Special Teams,3,"$7,527,973 ",4.06%,2,New York Giants,2021
Quarterback,3,"$9,974,336 ",4.79%,25,New York Giants,2022
Running Back,4,"$12,036,718 ",5.78%,10,New York Giants,2022
Wide Receiver,9,"$43,206,067 ",20.75%,1,New York Giants,2022
Tight End,3,"$10,677,500 ",5.13%,10,New York Giants,2022
Offensive Line,7,"$16,565,550 ",7.96%,31,New York Giants,2022
Defensive Line,8,"$36,560,858 ",17.56%,13,New York Giants,2022
Linebacker,10,"$22,967,934 ",11.03%,19,New York Giants,2022
Secondary,8,"$57,504,957 ",27.62%,2,New York Giants,2022
Special Teams,3,"$8,686,862 ",4.17%,5,New York Giants,2022
Quarterback,3,"$9,164,589 ",4.53%,25,New York Jets,2019
Running Back,7,"$11,424,472 ",5.64%,6,New York Jets,2019
Wide Receiver,9,"$19,301,035 ",9.53%,15,New York Jets,2019
Tight End,4,"$2,460,345 ",1.22%,32,New York Jets,2019
Offensive Line,12,"$33,958,682 ",16.77%,14,New York Jets,2019
Defensive Line,10,"$20,551,194 ",10.15%,23,New York Jets,2019
Linebacker,12,"$28,367,890 ",14.01%,5,New York Jets,2019
Secondary,14,"$32,962,845 ",16.28%,9,New York Jets,2019
Special Teams,3,"$1,974,833 ",0.98%,27,New York Jets,2019
Quarterback,3,"$10,403,190 ",5.02%,23,New York Jets,2020
Running Back,4,"$2,317,511 ",1.12%,32,New York Jets,2020
Wide Receiver,8,"$19,357,502 ",9.35%,14,New York Jets,2020
Tight End,4,"$5,092,162 ",2.46%,26,New York Jets,2020
Offensive Line,12,"$29,827,214 ",14.40%,20,New York Jets,2020
Defensive Line,9,"$19,865,850 ",9.59%,28,New York Jets,2020
Linebacker,11,"$21,689,748 ",10.47%,13,New York Jets,2020
Secondary,17,"$17,797,669 ",8.60%,28,New York Jets,2020
Special Teams,3,"$1,723,393 ",0.83%,32,New York Jets,2020
Quarterback,3,"$7,897,977 ",3.75%,28,New York Jets,2021
Running Back,5,"$3,994,843 ",1.90%,30,New York Jets,2021
Wide Receiver,8,"$29,017,316 ",13.78%,4,New York Jets,2021
Tight End,3,"$4,828,026 ",2.29%,28,New York Jets,2021
Offensive Line,15,"$45,037,120 ",21.39%,3,New York Jets,2021
Defensive Line,11,"$34,973,797 ",16.61%,8,New York Jets,2021
Linebacker,7,"$16,151,883 ",7.67%,19,New York Jets,2021
Secondary,17,"$23,775,833 ",11.29%,17,New York Jets,2021
Special Teams,3,"$2,004,828 ",0.95%,32,New York Jets,2021
Quarterback,1,"$7,988,791 ",3.82%,28,New York Jets,2022
Running Back,4,"$3,968,178 ",1.90%,25,New York Jets,2022
Wide Receiver,7,"$20,360,500 ",9.74%,16,New York Jets,2022
Tight End,3,"$4,858,118 ",2.32%,23,New York Jets,2022
Offensive Line,12,"$40,047,741 ",19.16%,15,New York Jets,2022
Defensive Line,9,"$48,812,558 ",23.35%,5,New York Jets,2022
Linebacker,6,"$23,770,773 ",11.37%,17,New York Jets,2022
Secondary,13,"$13,032,733 ",6.23%,31,New York Jets,2022
Special Teams,3,"$2,924,275 ",1.40%,25,New York Jets,2022
Quarterback,3,"$13,488,782 ",6.78%,19,Philadelphia Eagles,2019
Running Back,5,"$5,378,445 ",2.70%,18,Philadelphia Eagles,2019
Wide Receiver,8,"$19,604,044 ",9.86%,13,Philadelphia Eagles,2019
Tight End,4,"$7,806,800 ",3.92%,13,Philadelphia Eagles,2019
Offensive Line,11,"$36,342,479 ",18.27%,9,Philadelphia Eagles,2019
Defensive Line,13,"$29,221,523 ",14.69%,15,Philadelphia Eagles,2019
Linebacker,7,"$7,489,283 ",3.77%,29,Philadelphia Eagles,2019
Secondary,11,"$27,302,439 ",13.73%,19,Philadelphia Eagles,2019
Special Teams,3,"$1,942,500 ",0.98%,28,Philadelphia Eagles,2019
Quarterback,3,"$21,442,022 ",9.65%,15,Philadelphia Eagles,2020
Running Back,4,"$3,401,406 ",1.53%,31,Philadelphia Eagles,2020
Wide Receiver,9,"$30,063,113 ",13.54%,5,Philadelphia Eagles,2020
Tight End,6,"$15,359,509 ",6.92%,4,Philadelphia Eagles,2020
Offensive Line,14,"$39,231,284 ",17.66%,7,Philadelphia Eagles,2020
Defensive Line,11,"$40,965,221 ",18.44%,5,Philadelphia Eagles,2020
Linebacker,8,"$4,610,388 ",2.08%,31,Philadelphia Eagles,2020
Secondary,13,"$17,289,478 ",7.78%,29,Philadelphia Eagles,2020
Special Teams,3,"$4,476,500 ",2.02%,18,Philadelphia Eagles,2020
Quarterback,3,"$2,622,690 ",1.27%,32,Philadelphia Eagles,2021
Running Back,5,"$3,594,096 ",1.74%,32,Philadelphia Eagles,2021
Wide Receiver,5,"$9,700,884 ",4.69%,26,Philadelphia Eagles,2021
Tight End,6,"$5,114,376 ",2.47%,27,Philadelphia Eagles,2021
Offensive Line,15,"$38,158,357 ",18.43%,7,Philadelphia Eagles,2021
Defensive Line,17,"$39,333,988 ",19.00%,6,Philadelphia Eagles,2021
Linebacker,4,"$3,786,615 ",1.83%,32,Philadelphia Eagles,2021
Secondary,14,"$18,917,788 ",9.14%,25,Philadelphia Eagles,2021
Special Teams,3,"$3,364,333 ",1.63%,22,Philadelphia Eagles,2021
Quarterback,3,"$5,008,230 ",2.23%,29,Philadelphia Eagles,2022
Running Back,3,"$3,450,538 ",1.54%,29,Philadelphia Eagles,2022
Wide Receiver,6,"$12,358,511 ",5.50%,27,Philadelphia Eagles,2022
Tight End,5,"$7,181,832 ",3.20%,19,Philadelphia Eagles,2022
Offensive Line,13,"$54,018,358 ",24.04%,4,Philadelphia Eagles,2022
Defensive Line,15,"$61,842,993 ",27.52%,2,Philadelphia Eagles,2022
Linebacker,3,"$3,358,411 ",1.49%,32,Philadelphia Eagles,2022
Secondary,15,"$39,272,707 ",17.48%,10,Philadelphia Eagles,2022
Special Teams,3,"$7,029,333 ",3.13%,11,Philadelphia Eagles,2022
Quarterback,4,"$27,983,391 ",13.53%,6,Pittsburgh Steelers,2019
Running Back,5,"$2,808,722 ",1.36%,29,Pittsburgh Steelers,2019
Wide Receiver,7,"$4,477,455 ",2.16%,31,Pittsburgh Steelers,2019
Tight End,3,"$6,920,982 ",3.35%,15,Pittsburgh Steelers,2019
Offensive Line,9,"$36,220,709 ",17.51%,10,Pittsburgh Steelers,2019
Defensive Line,9,"$31,602,528 ",15.27%,12,Pittsburgh Steelers,2019
Linebacker,11,"$27,290,950 ",13.19%,8,Pittsburgh Steelers,2019
Secondary,11,"$26,527,297 ",12.82%,20,Pittsburgh Steelers,2019
Special Teams,3,"$6,445,000 ",3.12%,6,Pittsburgh Steelers,2019
Quarterback,3,"$25,644,620 ",12.78%,9,Pittsburgh Steelers,2020
Running Back,5,"$3,721,918 ",1.85%,30,Pittsburgh Steelers,2020
Wide Receiver,5,"$5,488,631 ",2.73%,31,Pittsburgh Steelers,2020
Tight End,4,"$8,215,673 ",4.09%,17,Pittsburgh Steelers,2020
Offensive Line,10,"$33,910,771 ",16.90%,17,Pittsburgh Steelers,2020
Defensive Line,8,"$31,921,708 ",15.91%,15,Pittsburgh Steelers,2020
Linebacker,10,"$34,770,121 ",17.32%,6,Pittsburgh Steelers,2020
Secondary,12,"$29,835,581 ",14.87%,13,Pittsburgh Steelers,2020
Special Teams,3,"$4,322,156 ",2.15%,19,Pittsburgh Steelers,2020
Quarterback,4,"$29,853,066 ",15.93%,5,Pittsburgh Steelers,2021
Running Back,4,"$5,102,616 ",2.72%,27,Pittsburgh Steelers,2021
Wide Receiver,6,"$8,016,895 ",4.28%,30,Pittsburgh Steelers,2021
Tight End,4,"$6,931,479 ",3.70%,19,Pittsburgh Steelers,2021
Offensive Line,11,"$14,368,436 ",7.67%,32,Pittsburgh Steelers,2021
Defensive Line,11,"$23,607,371 ",12.59%,17,Pittsburgh Steelers,2021
Linebacker,8,"$18,517,824 ",9.88%,16,Pittsburgh Steelers,2021
Secondary,12,"$30,551,376 ",16.30%,9,Pittsburgh Steelers,2021
Special Teams,3,"$6,113,517 ",3.26%,6,Pittsburgh Steelers,2021
Quarterback,2,"$14,380,000 ",6.66%,21,Pittsburgh Steelers,2022
Running Back,4,"$6,076,453 ",2.81%,19,Pittsburgh Steelers,2022
Wide Receiver,8,"$14,502,891 ",6.72%,23,Pittsburgh Steelers,2022
Tight End,5,"$8,185,156 ",3.79%,14,Pittsburgh Steelers,2022
Offensive Line,9,"$16,142,309 ",7.47%,32,Pittsburgh Steelers,2022
Defensive Line,12,"$44,557,948 ",20.63%,8,Pittsburgh Steelers,2022
Linebacker,6,"$49,943,448 ",23.13%,3,Pittsburgh Steelers,2022
Secondary,8,"$21,249,155 ",9.84%,21,Pittsburgh Steelers,2022
Special Teams,6,"$8,973,518 ",4.16%,3,Pittsburgh Steelers,2022
Quarterback,3,"$21,532,358 ",9.31%,15,San Francisco 49ers,2019
Running Back,5,"$12,485,215 ",5.40%,2,San Francisco 49ers,2019
Wide Receiver,10,"$15,872,699 ",6.86%,20,San Francisco 49ers,2019
Tight End,5,"$4,506,298 ",1.95%,26,San Francisco 49ers,2019
Offensive Line,10,"$37,028,971 ",16.01%,6,San Francisco 49ers,2019
Defensive Line,14,"$46,630,155 ",20.17%,2,San Francisco 49ers,2019
Linebacker,6,"$15,303,346 ",6.62%,18,San Francisco 49ers,2019
Secondary,12,"$31,264,861 ",13.52%,10,San Francisco 49ers,2019
Special Teams,2,"$4,586,018 ",1.98%,16,San Francisco 49ers,2019
Quarterback,4,"$28,060,987 ",13.58%,7,San Francisco 49ers,2020
Running Back,6,"$12,388,554 ",5.99%,4,San Francisco 49ers,2020
Wide Receiver,10,"$10,572,933 ",5.12%,29,San Francisco 49ers,2020
Tight End,4,"$8,262,831 ",4.00%,16,San Francisco 49ers,2020
Offensive Line,13,"$34,509,734 ",16.70%,16,San Francisco 49ers,2020
Defensive Line,15,"$38,518,524 ",18.64%,6,San Francisco 49ers,2020
Linebacker,5,"$4,565,799 ",2.21%,32,San Francisco 49ers,2020
Secondary,14,"$35,827,009 ",17.33%,8,San Francisco 49ers,2020
Special Teams,4,"$6,504,253 ",3.15%,9,San Francisco 49ers,2020
Quarterback,2,"$32,600,959 ",16.65%,3,San Francisco 49ers,2021
Running Back,6,"$8,816,186 ",4.50%,8,San Francisco 49ers,2021
Wide Receiver,7,"$9,002,567 ",4.60%,28,San Francisco 49ers,2021
Tight End,3,"$7,863,492 ",4.02%,16,San Francisco 49ers,2021
Offensive Line,11,"$29,686,187 ",15.16%,16,San Francisco 49ers,2021
Defensive Line,11,"$42,414,405 ",21.67%,4,San Francisco 49ers,2021
Linebacker,6,"$9,234,230 ",4.72%,29,San Francisco 49ers,2021
Secondary,15,"$23,713,464 ",12.11%,18,San Francisco 49ers,2021
Special Teams,3,"$4,610,331 ",2.36%,15,San Francisco 49ers,2021
Quarterback,2,"$34,701,199 ",16.54%,9,San Francisco 49ers,2022
Running Back,2,"$1,978,377 ",0.94%,31,San Francisco 49ers,2022
Wide Receiver,4,"$10,148,158 ",4.84%,28,San Francisco 49ers,2022
Tight End,2,"$16,952,011 ",8.08%,3,San Francisco 49ers,2022
Offensive Line,7,"$36,363,920 ",17.34%,21,San Francisco 49ers,2022
Defensive Line,6,"$48,729,750 ",23.23%,6,San Francisco 49ers,2022
Linebacker,3,"$19,005,005 ",9.06%,20,San Francisco 49ers,2022
Secondary,7,"$24,220,047 ",11.55%,18,San Francisco 49ers,2022
Special Teams,3,"$7,785,331 ",3.71%,6,San Francisco 49ers,2022
Quarterback,2,"$26,931,668 ",13.69%,8,Seattle Seahawks,2019
Running Back,7,"$5,028,038 ",2.56%,19,Seattle Seahawks,2019
Wide Receiver,7,"$12,655,240 ",6.43%,26,Seattle Seahawks,2019
Tight End,6,"$6,690,074 ",3.40%,17,Seattle Seahawks,2019
Offensive Line,13,"$33,490,893 ",17.02%,15,Seattle Seahawks,2019
Defensive Line,12,"$26,833,057 ",13.64%,16,Seattle Seahawks,2019
Linebacker,8,"$27,975,249 ",14.22%,7,Seattle Seahawks,2019
Secondary,13,"$14,856,679 ",7.55%,30,Seattle Seahawks,2019
Special Teams,3,"$4,017,537 ",2.04%,18,Seattle Seahawks,2019
Quarterback,2,"$31,887,500 ",15.97%,3,Seattle Seahawks,2020
Running Back,6,"$9,635,499 ",4.83%,10,Seattle Seahawks,2020
Wide Receiver,6,"$16,142,632 ",8.09%,23,Seattle Seahawks,2020
Tight End,4,"$11,768,953 ",5.90%,8,Seattle Seahawks,2020
Offensive Line,12,"$25,961,967 ",13.00%,26,Seattle Seahawks,2020
Defensive Line,13,"$31,133,362 ",15.59%,17,Seattle Seahawks,2020
Linebacker,6,"$29,248,737 ",14.65%,8,Seattle Seahawks,2020
Secondary,14,"$22,019,949 ",11.03%,24,Seattle Seahawks,2020
Special Teams,3,"$5,457,537 ",2.73%,14,Seattle Seahawks,2020
Quarterback,3,"$33,507,502 ",18.22%,1,Seattle Seahawks,2021
Running Back,6,"$8,801,337 ",4.79%,9,Seattle Seahawks,2021
Wide Receiver,8,"$12,488,881 ",6.79%,23,Seattle Seahawks,2021
Tight End,4,"$6,010,178 ",3.27%,25,Seattle Seahawks,2021
Offensive Line,11,"$26,607,085 ",14.47%,22,Seattle Seahawks,2021
Defensive Line,12,"$20,653,756 ",11.23%,21,Seattle Seahawks,2021
Linebacker,7,"$22,707,257 ",12.35%,12,Seattle Seahawks,2021
Secondary,14,"$17,537,544 ",9.53%,27,Seattle Seahawks,2021
Special Teams,3,"$7,837,540 ",4.26%,1,Seattle Seahawks,2021
Quarterback,2,"$37,895,000 ",17.32%,6,Seattle Seahawks,2022
Running Back,5,"$10,164,304 ",4.65%,11,Seattle Seahawks,2022
Wide Receiver,8,"$19,595,249 ",8.96%,19,Seattle Seahawks,2022
Tight End,3,"$3,887,610 ",1.78%,25,Seattle Seahawks,2022
Offensive Line,8,"$17,948,103 ",8.20%,30,Seattle Seahawks,2022
Defensive Line,11,"$33,250,545 ",15.20%,17,Seattle Seahawks,2022
Linebacker,6,"$27,333,419 ",12.49%,14,Seattle Seahawks,2022
Secondary,6,"$18,130,853 ",8.29%,27,Seattle Seahawks,2022
Special Teams,3,"$10,543,059 ",4.82%,1,Seattle Seahawks,2022
Quarterback,3,"$23,177,000 ",11.89%,13,Tampa Bay Buccaneers,2019
Running Back,4,"$4,872,251 ",2.50%,20,Tampa Bay Buccaneers,2019
Wide Receiver,9,"$21,779,847 ",11.17%,11,Tampa Bay Buccaneers,2019
Tight End,5,"$11,305,708 ",5.80%,7,Tampa Bay Buccaneers,2019
Offensive Line,11,"$42,638,225 ",21.87%,3,Tampa Bay Buccaneers,2019
Defensive Line,8,"$29,556,492 ",15.16%,14,Tampa Bay Buccaneers,2019
Linebacker,10,"$25,539,053 ",13.10%,10,Tampa Bay Buccaneers,2019
Secondary,14,"$11,350,329 ",5.82%,32,Tampa Bay Buccaneers,2019
Special Teams,3,"$3,671,443 ",1.88%,21,Tampa Bay Buccaneers,2019
Quarterback,3,"$27,532,500 ",13.49%,8,Tampa Bay Buccaneers,2020
Running Back,6,"$7,007,546 ",3.43%,17,Tampa Bay Buccaneers,2020
Wide Receiver,7,"$14,238,069 ",6.98%,25,Tampa Bay Buccaneers,2020
