,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
43,Levi Brown,2011,LT,Offense,ARI,"$6,777,500",$0,"$9,420,000",0.077,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
44,Chris Gamble,2011,CB,Defense,CAR,"$6,244,117","$1,000,000","$9,244,117",0.075,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
45,Matt Schaub,2011,QB,Offense,HOU,"$5,700,000","$750,000","$9,000,000",0.075,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
46,Russell Okung,2011,LT,Offense,SEA,"$1,400,000","$280,000","$8,880,000",0.063,NFC,NFC West,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,No,No
47,Kyle Orton,2011,QB,Offense,KC,"$7,379,000",$0,"$8,879,000",0.062,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
48,Ed Reed,2011,S,Defense,BAL,"$6,500,000","$1,071,428","$8,871,428",0.07,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
49,Charles Woodson,2011,SS,Defense,GB,"$7,850,000",$0,"$8,787,500",0.07,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
50,Tony Gonzalez,2011,TE,Offense,ATL,"$5,750,000","$1,000,000","$8,734,375",0.073,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
51,Andre Smith,2011,G,Offense,CIN,"$1,677,500",$0,"$8,686,750",0.064,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
52,Jason Witten,2011,TE,Offense,DAL,"$3,391,000","$3,700,000","$8,591,000",0.063,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
53,Donald Penn,2011,LT,Offense,TB,"$7,200,000","$333,333","$8,533,333",0.059,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
54,Eric Steinbach,2011,G,Offense,CLE,"$6,250,000","$1,666,667","$8,516,667",0.066,AFC,AFC North,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,No,No
55,Justin Smith,2011,DE,Defense,SF,"$5,000,000","$2,750,000","$8,450,000",0.062,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
56,Andrew Whitworth,2011,LT,Offense,CIN,"$3,690,000","$2,000,000","$8,390,000",0.062,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
57,Kellen Winslow,2011,TE,Offense,TB,"$8,290,000",$0,"$8,290,000",0.058,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
58,Troy Polamalu,2011,S,Defense,PIT,"$3,450,000","$4,832,500","$8,282,500",0.069,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
59,Reggie Wayne,2011,WR,Offense,IND,"$5,950,000","$2,083,333","$8,273,333",0.067,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
60,Will Smith,2011,OLB,Defense,NO,"$6,000,000","$2,000,000","$8,150,000",0.065,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
61,Oshiomogho Atogwe,2011,S,Defense,WAS,"$900,000",$0,"$8,000,000",0.06,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
62,Johnathan Joseph,2011,CB,Defense,HOU,"$5,500,000","$2,500,000","$8,000,000",0.067,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
63,Chris Hope,2011,S,Defense,TEN,"$6,500,000",$0,"$8,000,000",0.062,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
64,Trent Williams,2011,LT,Offense,WAS,"$6,004,470","$500,000","$7,984,863",0.06,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
65,Dunta Robinson,2011,CB,Defense,ATL,"$5,500,000","$1,400,000","$7,900,000",0.066,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
66,Greg Jennings,2011,WR,Offense,GB,"$3,950,000","$2,812,500","$7,827,500",0.062,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
67,Jonathan Vilma,2011,ILB,Defense,NO,"$5,130,000","$2,082,500","$7,812,500",0.063,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
68,LaRon Landry,2011,S,Defense,WAS,"$5,215,000","$833,333","$7,804,333",0.058,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
69,Aaron Rodgers,2011,QB,Offense,GB,"$7,250,000",$0,"$7,750,000",0.062,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
70,Dallas Clark,2011,TE,Offense,IND,"$4,200,000","$1,833,333","$7,723,333",0.063,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
71,DeAngelo Williams,2011,RB,Offense,CAR,"$4,500,000","$3,200,000","$7,700,000",0.063,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
72,LaMarr Woodley,2011,OLB,Defense,PIT,"$1,100,000","$2,600,000","$7,700,000",0.064,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
