,Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
11567,Robert Alford,29,2017,CB,Defense,ATL,2000000,600000,9600000,0.057,NFC,NFC South,10,6,0,0.625,3,353,315,38,0.475,0.542969,Yes,No
11568,Emmanuel Sanders,30,2017,WR,Offense,DEN,6750000,2687500,9537500,0.057,AFC,AFC West,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
11569,Corey Liuget,27,2017,DT,Defense,LAC/SD,8000000,1500000,9500000,0.056,AFC,AFC West,9,7,0,0.5625,2,355,272,83,0.347222,0.457031,No,No
11570,Sean Smith,30,2017,CB,Defense,LV/OAK,5000000,0,9500000,0.055,AFC,AFC West,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,No,No
11571,Eric Fisher,26,2017,LT,Offense,KC,6857977,2550000,9457977,0.056,AFC,AFC West,10,6,0,0.625,1,415,339,76,0.48125,0.476562,Yes,No
11572,Brian Orakpo,31,2017,OLB,Defense,TEN,6200000,1250000,9450000,0.05,AFC,AFC South,9,7,0,0.5625,2,334,356,-22,0.395833,0.433594,Yes,No
11573,Fletcher Cox,27,2017,DT,Defense,PHI,3000000,5200000,9400000,0.053,NFC,NFC East,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,Yes,Yes
11574,Dre Kirkpatrick,28,2017,CB,Defense,CIN,2550000,1400000,9384375,0.054,AFC,AFC North,7,9,0,0.4375,3,290,349,-59,0.321429,0.464844,No,No
11575,Andrew Whitworth,36,2017,LT,Offense,LAR/STL,7500000,1666666,9166666,0.057,NFC,NFC West,11,5,0,0.6875,1,478,329,149,0.460227,0.503906,Yes,No
11576,Marshal Yanda,33,2017,G,Offense,BAL,6000000,1800000,9125220,0.056,AFC,AFC North,9,7,0,0.5625,2,395,303,92,0.298611,0.441406,No,No
11577,Vinny Curry,29,2017,DE,Defense,PHI,7000000,2000000,9000000,0.051,NFC,NFC East,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,Yes,Yes
11578,Charles Clay,28,2017,TE,Offense,BUF,4500000,2000000,9000000,0.054,AFC,AFC East,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
11579,Mike Pouncey,28,2017,C,Offense,MIA,7950000,1000000,8975000,0.052,AFC,AFC East,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,No,No
11580,Kareem Jackson,29,2017,CB,Defense,HOU,6500000,2250000,8968750,0.052,AFC,AFC South,4,12,0,0.25,4,338,436,-98,0.375,0.515625,No,No
11581,Justin Pugh,27,2017,G,Offense,NYG,8821000,0,8821000,0.053,NFC,NFC East,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,No,No
11582,Tyron Smith,27,2017,LT,Offense,DAL,1275000,2000000,8820000,0.052,NFC,NFC East,9,7,0,0.5625,2,354,332,22,0.4375,0.496094,No,No
11583,Tamba Hali,34,2017,OLB,Defense,KC,5750000,1708333,8708333,0.051,AFC,AFC West,10,6,0,0.625,1,415,339,76,0.48125,0.476562,Yes,No
11584,Logan Ryan,26,2017,CB,Defense,TEN,5000000,666666,8666666,0.046,AFC,AFC South,9,7,0,0.5625,2,334,356,-22,0.395833,0.433594,Yes,No
11585,Keenan Allen,25,2017,WR,Offense,LAC/SD,1000000,1900000,8650000,0.051,AFC,AFC West,9,7,0,0.5625,2,355,272,83,0.347222,0.457031,No,No
11586,Marvin Jones,27,2017,WR,Offense,DET,7000000,1600000,8600000,0.051,NFC,NFC North,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,No,No
11587,Everson Griffen,30,2017,DE,Defense,MIN,1900000,1600000,8600000,0.051,NFC,NFC North,13,3,0,0.8125,1,382,252,130,0.447115,0.492188,Yes,No
11588,Dominique Rodgers-Cromartie,31,2017,CB,Defense,NYG,6569412,2000000,8589411,0.051,NFC,NFC East,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,No,No
11589,Stephon Gilmore,27,2017,CB,Defense,NE,4500000,3600000,8568750,0.051,AFC,AFC East,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,Yes,No
11590,Eric Wood,31,2017,C,Offense,BUF,1150000,3966666,8524999,0.051,AFC,AFC East,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
