Year,Conf,Division,Team,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
2019,NFC,NFC East,DAL,8,8,0,0.5,2,434,321,113,0.3125,0.476562,No,No
2019,NFC,NFC East,NYG,4,12,0,0.25,3,341,451,-110,0.28125,0.46875,No,No
2019,NFC,NFC East,PHI,9,7,0,0.5625,1,385,354,31,0.416667,0.453125,Yes,No
2019,NFC,NFC East,WAS,3,13,0,0.1875,4,266,435,-169,0.270833,0.5,No,No
2019,NFC,NFC North,CHI,8,8,0,0.5,3,280,298,-18,0.375,0.503906,No,No
2019,NFC,NFC North,DET,3,12,1,0.21875,4,341,423,-82,0.375,0.503906,No,No
2019,NFC,NFC North,GB,13,3,0,0.8125,1,376,313,63,0.423077,0.449219,Yes,No
2019,NFC,NFC North,MIN,10,6,0,0.625,2,407,303,104,0.35,0.472656,Yes,No
2019,NFC,NFC South,ATL,7,9,0,0.4375,2,381,399,-18,0.517857,0.542969,No,No
2019,NFC,NFC South,CAR,5,11,0,0.3125,4,340,470,-130,0.4625,0.546875,No,No
2019,NFC,NFC South,NO,13,3,0,0.8125,1,458,341,117,0.456731,0.484375,Yes,No
2019,NFC,NFC South,TB,7,9,0,0.4375,3,458,449,9,0.375,0.496094,No,No
2019,NFC,NFC West,ARI,5,10,1,0.34375,4,361,442,-81,0.375,0.527344,No,No
2019,NFC,NFC West,LAR/STL,9,7,0,0.5625,3,394,364,30,0.430556,0.53125,No,No
2019,NFC,NFC West,SEA,11,5,0,0.6875,2,405,398,7,0.460227,0.527344,Yes,No
2019,NFC,NFC West,SF,13,3,0,0.8125,1,479,310,169,0.461538,0.5,Yes,No
2018,AFC,AFC East,BUF,6,10,0,0.375,3,269,374,-105,0.40625,0.519531,No,No
2018,AFC,AFC East,MIA,7,9,0,0.4375,2,319,433,-114,0.446429,0.464844,No,No
2018,AFC,AFC East,NE,11,5,0,0.6875,1,436,325,111,0.488636,0.476562,Yes,Yes
2018,AFC,AFC East,NYJ,4,12,0,0.25,4,333,441,-108,0.4375,0.5,No,No
2018,AFC,AFC North,BAL,10,6,0,0.625,1,389,287,102,0.44375,0.488281,Yes,No
2018,AFC,AFC North,CIN,6,10,0,0.375,4,368,455,-87,0.447917,0.527344,No,No
2018,AFC,AFC North,CLE,7,8,1,0.46875,3,359,392,-33,0.410714,0.511719,No,No
2018,AFC,AFC North,PIT,9,6,1,0.59375,2,428,360,68,0.444444,0.5,No,No
2018,AFC,AFC South,HOU,11,5,0,0.6875,1,402,316,86,0.431818,0.46875,Yes,No
2018,AFC,AFC South,IND,10,6,0,0.625,2,433,344,89,0.45625,0.464844,Yes,No
2018,AFC,AFC South,JAX,5,11,0,0.3125,4,245,316,-71,0.4625,0.546875,No,No
2018,AFC,AFC South,TEN,9,7,0,0.5625,3,310,303,7,0.465278,0.519531,No,No
2018,AFC,AFC West,DEN,6,10,0,0.375,3,329,349,-20,0.458333,0.519531,No,No
2018,AFC,AFC West,KC,12,4,0,0.75,1,565,421,144,0.395833,0.476562,Yes,No
2018,AFC,AFC West,LAC/SD,12,4,0,0.75,2,428,329,99,0.416667,0.472656,Yes,No
2018,AFC,AFC West,LV/OAK,4,12,0,0.25,4,290,467,-177,0.390625,0.542969,No,No
2018,NFC,NFC East,DAL,10,6,0,0.625,1,339,324,15,0.44375,0.488281,Yes,No
2018,NFC,NFC East,NYG,5,11,0,0.3125,4,369,412,-43,0.4875,0.527344,No,No
2018,NFC,NFC East,PHI,9,7,0,0.5625,2,367,348,19,0.486111,0.515625,Yes,No
