Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap_Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
Kevin Williams,31,2011,DT,Defense,MIN,6000000,0,7416666,0.061,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
Travelle Wharton,30,2011,G,Offense,CAR,5400000,2000000,7400000,0.06,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
Domonique Foxworth,28,2011,CB,Defense,BAL,4400000,1000000,7400000,0.059,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
Chris Canty,29,2011,DE,Defense,NYG,5250000,1700000,7200000,0.059,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
Chad Greenway,28,2011,OLB,Defense,MIN,5500000,1700000,7200000,0.059,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
London Fletcher,36,2011,ILB,Defense,WAS,4900000,2100000,7100000,0.053,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
Haloti Ngata,27,2011,DT,Defense,BAL,2100000,5000000,7100000,0.056,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
Casey Hampton,34,2011,DT,Defense,PIT,3910000,2166667,7076667,0.059,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
Matt Cassel,29,2011,QB,Offense,KC,4750000,200000,7075000,0.049,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
Frank Gore,28,2011,RB,Offense,SF,3900000,1300000,7033000,0.051,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
Asante Samuel,30,2011,CB,Defense,PHI,5900000,1000000,7000000,0.053,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
Vernon Davis,27,2011,TE,Offense,SF,4708000,1666666,6974666,0.051,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
A.J. Hawk,27,2011,OLB,Defense,GB,1150000,1600000,6921250,0.055,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
Cullen Jenkins,30,2011,DE,Defense,PHI,3875000,0,6875000,0.052,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
Leon Hall,27,2011,CB,Defense,CIN,5037500,1800000,6837500,0.051,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
Jason Peters,29,2011,LT,Offense,PHI,5900000,292000,6834000,0.052,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
Brandon Jacobs,29,2011,RB,Offense,NYG,4650000,2000000,6750000,0.056,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
Antoine Winfield,34,2011,CB,Defense,MIN,6750000,0,6750000,0.055,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
Steve Hutchinson,34,2011,G,Offense,MIN,6680000,0,6730000,0.055,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
Jeff Backus,34,2011,T,Offense,DET,5450000,0,6723176,0.055,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
Rolando McClain,22,2011,ILB,Defense,LV/OAK,450000,0,6575000,0.053,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
Patrick Willis,26,2011,ILB,Defense,SF,1594455,3543333,6538413,0.048,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
Roddy White,30,2011,WR,Offense,ATL,4000000,1200000,6525000,0.054,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
Chris Snee,29,2011,G,Offense,NYG,3700000,2250000,6500000,0.054,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
Michael Roos,29,2011,LT,Offense,TEN,5000000,1500000,6500000,0.051,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
Andre Johnson,30,2011,WR,Offense,HOU,1300000,2611335,6494668,0.054,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
DeMarcus Ware,29,2011,OLB,Defense,DAL,685000,4000000,6488000,0.047,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
Glenn Dorsey,26,2011,DE,Defense,KC,4082250,0,6419250,0.045,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
Tony Romo,31,2011,QB,Offense,DAL,810000,1916000,6410499,0.047,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
Chris Johnson,26,2011,RB,Offense,TEN,3000000,2050002,6370002,0.05,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
Corey Webster,29,2011,CB,Defense,NYG,3500000,875000,6345000,0.052,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
Ron Bartell,29,2011,CB,Defense,LAR/STL,5200000,1130000,6330000,0.051,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
Jason Brown,28,2011,G,Offense,LAR/STL,4000000,2200000,6200000,0.05,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
Marcus Trufant,31,2011,CB,Defense,SEA,3000000,1666667,6183333,0.044,NFC,NFC West,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,No,No
D.J. Williams,29,2011,ILB,Defense,DEN,4900000,250000,6150000,0.042,AFC,AFC West,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,Yes,No
Chris Cooley,29,2011,TE,Offense,WAS,3700000,500000,6133333,0.046,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
Matthew Stafford,23,2011,QB,Offense,DET,525000,0,6123750,0.05,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
Calvin Pace,31,2011,OLB,Defense,NYJ,855000,1833333,6118333,0.048,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
Chad Clifton,35,2011,T,Offense,GB,5750000,0,6093750,0.049,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
Jerod Mayo,25,2011,ILB,Defense,NE,600000,3200000,6075000,0.048,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
Maurice Jones-Drew,26,2011,RB,Offense,JAX,4050000,1800000,6000000,0.04,AFC,AFC South,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
Quincy Black,27,2011,LB,Defense,TB,6000000,0,6000000,0.042,NFC,NFC South,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,No,No
Robert Geathers,28,2011,DE,Defense,CIN,3950000,1833333,5983333,0.044,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
Antonio Gates,31,2011,TE,Offense,LAC/SD,5200000,762500,5962500,0.05,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
Antoine Bethea,27,2011,SS,Defense,IND,4745000,1000000,5745000,0.047,AFC,AFC South,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,No,No
Joe Flacco,26,2011,QB,Offense,BAL,4485000,0,5725000,0.045,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
Jon Beason,26,2011,ILB,Defense,CAR,1040000,4000000,5724168,0.047,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
Jake Scott,30,2011,G,Offense,TEN,4700000,1000000,5700000,0.044,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
Ryan Fitzpatrick,29,2011,QB,Offense,BUF,3220000,2390000,5610000,0.04,AFC,AFC East,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,No,No
Tramon Williams,28,2011,CB,Defense,GB,1000000,2000000,5600000,0.045,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
Donald Driver,36,2011,WR,Offense,GB,4100000,0,5600000,0.045,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
Luis Castillo,36,2011,DE,Defense,LAC/SD,4500000,1025000,5600000,0.047,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
Darnell Dockett,30,2011,DE,Defense,ARI,2350000,0,5600000,0.046,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
E.J. Henderson,31,2011,LB,Defense,MIN,4700000,0,5600000,0.046,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
Sean Weatherspoon,24,2011,ILB,Defense,ATL,450000,100000,5551250,0.046,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
Sedrick Ellis,26,2011,DT,Defense,NO,3782000,0,5532000,0.044,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
Logan Mankins,29,2011,G,Offense,NE,1500000,4000000,5500000,0.043,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
Eric Winston,28,2011,RT,Offense,HOU,4500000,1000000,5500000,0.046,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
David Stewart,29,2011,RT,Offense,TEN,4500000,1000000,5500000,0.043,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
Maurkice Pouncey,22,2011,C,Offense,PIT,450000,0,5473625,0.045,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
Nate Clements,32,2011,CB,Defense,CIN,1400000,1000000,5400000,0.04,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
Terrence McGee,31,2011,CB,Defense,BUF,3200000,600000,5400000,0.039,AFC,AFC East,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,No,No
Derek Anderson,28,2011,QB,Offense,ARI,4087500,1250000,5387500,0.044,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
Lawrence Timmons,25,2011,ILB,Defense,PIT,1000000,2000000,5378750,0.045,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
Barry Cofield,27,2011,DT,Defense,WAS,3200000,1800000,5300000,0.04,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
Jason Babin,31,2011,DE,Defense,PHI,1000000,300000,5300000,0.04,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
James Harrison,33,2011,OLB,Defense,PIT,1176470,2000000,5291470,0.044,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
Nick Mangold,27,2011,C,Offense,NYJ,2260000,3007100,5267100,0.041,AFC,AFC East,8,8,0,0.5,2,377,363,14,0.398438,0.5,No,No
Jarret Johnson,30,2011,OLB,Defense,BAL,3500000,1080000,5265000,0.042,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
Yeremiah Bell,33,2011,S,Defense,MIA,3700000,1500000,5250000,0.041,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
Jay Ratliff,30,2011,DT,Defense,DAL,1625000,3600000,5225000,0.038,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
